iter	Passed	Remaining
0	50	4991
1	51	2526
2	52	1694
3	53	1285
4	54	1041
5	55	876
6	57	757
7	58	670
8	59	603
9	60	544
10	61	499
11	70	518
12	72	483
13	73	448
14	74	422
15	76	399
16	77	377
17	78	359
18	80	342
19	81	327
20	83	312
21	84	299
22	85	287
23	87	276
24	88	265
25	90	256
26	91	247
27	92	238
28	94	230
29	95	222
30	96	215
31	98	208
32	99	202
33	101	196
34	103	192
35	105	187
36	106	181
37	108	176
38	111	174
39	112	168
40	113	163
41	114	158
42	115	153
43	117	149
44	117	143
45	119	139
46	120	135
47	121	131
48	122	127
49	124	124
50	125	120
51	126	117
52	128	113
53	129	110
54	131	107
55	132	103
56	133	100
57	134	97
58	136	94
59	137	91
60	138	88
61	139	85
62	141	82
63	142	80
64	144	77
65	145	75
66	147	72
67	148	69
68	149	67
69	150	64
70	151	62
71	152	59
72	154	57
73	155	54
74	156	52
75	158	49
76	159	47
77	160	45
78	162	43
79	163	40
80	164	38
81	165	36
82	167	34
83	168	32
84	169	29
85	171	27
86	173	25
87	174	23
88	176	21
89	177	19
90	179	17
91	181	15
92	182	13
93	183	11
94	184	9
95	186	7
96	188	5
97	190	3
98	192	1
99	193	0
